Epsilon,Missing Network,Test Loss,Train Loss,AUC,AP,F1
0.1,0,0.651635468006134,0.6986771462261677,0.6820408163265306,0.6326221829583518,0.6802721088435374
0.1,1,0.6490327715873718,0.6977811380028724,0.7180899908172635,0.6613378873334823,0.6060606060606061
0.1,2,0.6945001482963562,0.7194645631611347,0.6087990487514864,0.5760464786619579,0.6412213740458015
0.1,3,0.6290130615234375,0.7014763124585152,0.743856726364015,0.7852378944941807,0.7115384615384616
0.1,0,0.6883103847503662,0.7011115686297417,0.6154081632653061,0.5871883607299537,0.5874125874125874
0.1,1,0.6456233859062195,0.6993139748871326,0.7318640955004592,0.658361595031552,0.6
0.1,2,0.6573675274848938,0.7149598998725414,0.6860879904875149,0.6549046547709083,0.7175572519083969
0.1,3,0.6605923175811768,0.7067741154432297,0.661807580174927,0.6454946400161075,0.6336633663366337
0.1,0,0.7381643056869507,0.7030607589185238,0.5295918367346939,0.5712309513920233,0.5733333333333334
0.1,1,0.6534489393234253,0.695748715877533,0.7079889807162535,0.7222491356123857,0.6349206349206349
0.1,2,0.6305060386657715,0.7069446214437485,0.7452437574316291,0.7163572908696652,0.6911764705882353
0.1,3,0.6552873849868774,0.7028317632079124,0.6601416076634735,0.6493086276238297,0.6727272727272727
0.2,0,0.6789727807044983,0.7046543333828449,0.6384826059087465,0.6127458106317638,0.5690376569037657
0.2,1,0.6659336090087891,0.7012481932640076,0.6814201183431953,0.710349956967621,0.6141732283464567
0.2,2,0.6956065893173218,0.7031949117779732,0.6122164552095347,0.5694738920063631,0.6188340807174888
0.2,3,0.684457004070282,0.7063068500161171,0.6280924479166667,0.5884315924669754,0.624390243902439
0.2,0,0.7008280754089355,0.7009044708013534,0.5937882407785094,0.5837760724193434,0.5627376425855514
0.2,1,0.6592959761619568,0.7036669971346855,0.6898224852071005,0.6895698884049344,0.625
0.2,2,0.6772500276565552,0.7128956653475761,0.6547481737793156,0.6386259830903742,0.6610169491525424
0.2,3,0.6481131315231323,0.7009412313699722,0.6966145833333334,0.6906439357086326,0.6326530612244898
0.2,0,0.6527995467185974,0.6961481445133686,0.6853330225511334,0.683864333695157,0.6441947565543071
0.2,1,0.6641354560852051,0.6952202846705914,0.6762130177514794,0.6813039307663482,0.6349206349206349
0.2,2,0.6647782325744629,0.7085014541745186,0.667435601691657,0.6396924191222495,0.6909090909090909
0.2,3,0.6774899363517761,0.7150963318645954,0.6448025173611112,0.6234160646701493,0.6542056074766355
0.3,0,0.6925902366638184,0.7017200712263584,0.6141636487098234,0.6013308025080093,0.5706666666666667
0.3,1,0.6683699488639832,0.6906715455651283,0.6680837496014455,0.5963900349588503,0.6091370558375635
0.3,2,0.6928385496139526,0.7047155955433846,0.6260524023806069,0.6059304634534114,0.6197183098591549
0.3,3,0.6694902777671814,0.7004615849852562,0.6582639714625446,0.6436777472285109,0.6237288135593221
0.3,0,0.6897991299629211,0.6935528377294541,0.6167383431416931,0.6036808092362167,0.5963060686015831
0.3,1,0.6643085479736328,0.7020968130230903,0.6932723987671379,0.6832672151979018,0.6051282051282051
0.3,2,0.6847956776618958,0.6994855344891548,0.6369393235592974,0.6414636844395887,0.6172106824925816
0.3,3,0.6327366828918457,0.6998363951742649,0.722449464922711,0.7108121289925435,0.6578073089700996
0.3,0,0.701765775680542,0.701113972634077,0.5948675871435039,0.6197229545322916,0.6075949367088608
0.3,1,0.6483161449432373,0.6946276906430722,0.7020937400361356,0.6616605907501589,0.6424870466321243
0.3,2,0.7195340991020203,0.705571961671114,0.575156045870228,0.6118630540800493,0.56657223796034
0.3,3,0.6679650545120239,0.7091680380403995,0.6720570749108205,0.6646883977840685,0.6319218241042345
0.4,0,0.6849886178970337,0.6960567724406719,0.6314100137776498,0.6368893325968332,0.5811623246492986
0.4,1,0.6329095959663391,0.692602747142315,0.7316111886851944,0.6679893575459965,0.6484641638225256
0.4,2,0.7413182854652405,0.7134447615146637,0.5318950607578445,0.503527716903021,0.5571428571428572
0.4,3,0.6408509016036987,0.703678101658821,0.7036943511527486,0.6680287297285759,0.6829268292682927
0.4,0,0.6876486539840698,0.69880552816391,0.6216975275931504,0.6274172659750878,0.5825242718446602
0.4,1,0.6555753946304321,0.691284619808197,0.7089320300887346,0.6736022194336255,0.5934065934065934
0.4,2,0.7030041217803955,0.7035316090583801,0.5968644010691584,0.5756680378652792,0.5569007263922519
0.4,3,0.6670153737068176,0.696035718113184,0.6768263427691221,0.6716123472619147,0.6386946386946387
0.4,0,0.6853798627853394,0.7063908660709858,0.6327045072597617,0.6303384076107981,0.5557809330628803
0.4,1,0.665664792060852,0.688620228767395,0.6790685104274582,0.6387414208848059,0.592057761732852
0.4,2,0.7181270718574524,0.7074297702014446,0.5693492958379193,0.5568131602002664,0.5376884422110553
0.4,3,0.6534439325332642,0.694421419620514,0.6885305926618016,0.6491442966780234,0.6141732283464567
0.5,0,0.6806650161743164,0.6930668118298053,0.6394175317185697,0.6171667503074862,0.5944170771756979
0.5,1,0.6814606785774231,0.6989029623270034,0.6431430059483019,0.577684729267986,0.5945945945945946
0.5,2,0.7195447683334351,0.6964625199735165,0.5715302275583278,0.5843015866975982,0.5784499054820416
0.5,3,0.6890082955360413,0.7028828391730786,0.6232916937826384,0.584381551495905,0.6283524904214559
0.5,0,0.6727153658866882,0.6916816729009152,0.6521102994574737,0.64426358514923,0.6029654036243822
0.5,1,0.6575950384140015,0.6906746077835559,0.6923329952578055,0.6208236997614047,0.5872093023255814
0.5,2,0.7406236529350281,0.700030803501606,0.5404699541249679,0.558006699217773,0.5378787878787878
0.5,3,0.6579743027687073,0.6969059051573276,0.6812352184885954,0.612107578772911,0.6455445544554456
0.5,0,0.6558964252471924,0.6955932334065438,0.6840371224742621,0.6820245268470783,0.5975395430579965
0.5,1,0.6729320287704468,0.6908830440044403,0.6576437049422987,0.6041899447629535,0.5691056910569106
0.5,2,0.71108478307724,0.6968387981951236,0.5856031128404668,0.5910572123071285,0.5827067669172933
0.5,3,0.6497311592102051,0.6989273646473885,0.7012904557070522,0.6539769495008391,0.6384615384615384
0.6,0,0.6800053119659424,0.6984538508951664,0.6376502840533758,0.6111581051228023,0.5880597014925373
0.6,1,0.6356872320175171,0.6879713311493397,0.7350712663481871,0.7044376540555546,0.6320754716981132
0.6,2,0.7133515477180481,0.7052640998959542,0.581914627106275,0.5541915182500661,0.5681818181818182
0.6,3,0.6628881692886353,0.6947938978374004,0.6772441805278089,0.6349153391512379,0.6133333333333333
0.6,0,0.7029311060905457,0.6944743560552598,0.5963262980578676,0.5897784083437269,0.5673352435530086
0.6,1,0.6473399996757507,0.6931750271618367,0.7173819406374814,0.7020649284992957,0.5914786967418546
0.6,2,0.6992670297622681,0.6992312412858009,0.6080122863771525,0.5903620505963441,0.5542570951585977
0.6,3,0.6738041639328003,0.6994022589027882,0.651642917848589,0.6063326726930257,0.6233333333333333
0.6,0,0.700658917427063,0.6975902863442898,0.6008224336107809,0.6006519268305255,0.5473372781065089
0.6,1,0.6650180220603943,0.6891555586457252,0.686584697313807,0.666797394549329,0.5672371638141809
0.6,2,0.7246531248092651,0.704500243216753,0.5740069056410592,0.573490362029232,0.567741935483871
0.6,3,0.6648580431938171,0.6949524510204792,0.6763777441750092,0.6295814688781155,0.6020408163265306
0.7,0,0.6804938912391663,0.6873468799889088,0.6446770975781577,0.6263407601200237,0.584070796460177
0.7,1,0.6992791295051575,0.6951779806017876,0.6196442521483083,0.5615629672845176,0.588957055214724
0.7,2,0.7074627876281738,0.6955758464038372,0.5994204081632654,0.5853131117957202,0.5788043478260869
0.7,3,0.6675500273704529,0.6917530229389668,0.6666244897959185,0.6440817603021798,0.5740181268882175
0.7,0,0.6832706332206726,0.6874363949894905,0.6406278674646728,0.6233300724319268,0.5732647814910026
0.7,1,0.6768192052841187,0.6865442566871643,0.659823628387717,0.6190747347778631,0.5695364238410596
0.7,2,0.7141553163528442,0.7004756234288215,0.5787591836734693,0.6077816146284523,0.546742209631728
0.7,3,0.6716799139976501,0.6941596160829068,0.6591632653061225,0.6149204716960293,0.5787878787878787
0.7,0,0.6654984951019287,0.6864875400960445,0.6655862799770306,0.6366102537250755,0.5803108808290155
0.7,1,0.6616926193237305,0.6913948514461518,0.6947148608857641,0.6760797639271638,0.567032967032967
0.7,2,0.7214207649230957,0.6978439470529556,0.5833795918367347,0.5738994916458846,0.5686813186813187
0.7,3,0.6669753193855286,0.6962749731540679,0.6697510204081633,0.6408838938365461,0.6186440677966102
0.8,0,0.672552764415741,0.6845724095702171,0.656888085875226,0.6616464372505433,0.6029723991507431
0.8,1,0.6497525572776794,0.6813386227488518,0.6932345389847305,0.6379125159751509,0.6504347826086957
0.8,2,0.7165980339050293,0.6929311087429524,0.5788553392196365,0.5700827248391911,0.565
0.8,3,0.6662197113037109,0.6915655300319195,0.6824046331367265,0.6373256027587813,0.5876010781671159
0.8,0,0.651436984539032,0.6827237561941147,0.6919034966521417,0.6884601859623933,0.605586592178771
0.8,1,0.6447252631187439,0.6850151071846485,0.7109477050583307,0.6855627540966114,0.6041275797373359
0.8,2,0.6979646682739258,0.6935215924680233,0.608105523042067,0.5704912899230421,0.5958986731001207
0.8,3,0.6652781367301941,0.6912096698880196,0.6815095382566693,0.6307607228408098,0.587431693989071
0.8,0,0.6667325496673584,0.6846208766698837,0.6652396641513444,0.6255881075989616,0.5809312638580931
0.8,1,0.6485294699668884,0.6853729819059372,0.7079185622269267,0.6585057129936047,0.5988909426987061
0.8,2,0.7202336192131042,0.6946722669601441,0.5764133404271854,0.5665093807395234,0.544529262086514
0.8,3,0.68744957447052,0.6935504893362522,0.6385795315356059,0.5974995317390654,0.5613079019073569
