Idweb,Short_ref,full_plants,full_insects,full_inter,dipt_plants,dipt_insects,dipt_inter,hymeno_plants,hymeno_insects,hymeno_inter,Mean_T_IPCC,T_Seasonality_IPCC,Tot_Rainfall_IPCC,Rainfall_Seasonality_IPCC,HF,Annual_time_span,Sampling_time,Sampling_effort,Sampling_type,taxo_full_sp_perc,Location,Country_location,Latitude_dec,Longitude_dec,Year,Complete_ref,Source
155,"Traveset et al., 2013",20,70,127,17,17,40,9,7,17,"24,4","1,313",644,32,3,30,"103,6","0,074",T,"63,33","Pinta Island, Galapagos", Galapagos Archipelago (Ecuador),"0,54","-90,73",2011,"Traveset, A., Heleno, R., Chamorro, S., Vargas, P., Mcmullen, C. K., Castro-Urgal, R., … Olesen, J. M. (2013). Invaders of pollination networks in the Galápagos Islands: Emergence of novel communities. Proceedings of the Royal Society B: Biological Sciences, 280(1758) ; Nnakenyi, C. A., Traveset, A., Heleno, R., Minoarivelo, H. O., & Hui, C. (2019). Fine-tuning the nested structure of pollination networks by adaptive interaction switching, biogeography and sampling effect in the Galápagos Islands. Oikos, 128(10), 1413–1423.",original publication
156,"Traveset et al., 2013",24,67,164,16,17,39,19,9,34,"23,5","1,48",567,41,3,30,"103,6","0,064",T,"71,43","Santiago Island, Galapagos", Galapagos Archipelago (Ecuador),"-0,21","-90,82",2011,"Traveset, A., Heleno, R., Chamorro, S., Vargas, P., Mcmullen, C. K., Castro-Urgal, R., … Olesen, J. M. (2013). Invaders of pollination networks in the Galápagos Islands: Emergence of novel communities. Proceedings of the Royal Society B: Biological Sciences, 280(1758) ; Nnakenyi, C. A., Traveset, A., Heleno, R., Minoarivelo, H. O., & Hui, C. (2019). Fine-tuning the nested structure of pollination networks by adaptive interaction switching, biogeography and sampling effect in the Galápagos Islands. Oikos, 128(10), 1413–1423.",original publication
157,"Traveset et al., 2013",23,74,212,12,18,30,21,11,89,"23,5","1,747",371,72,12,30,"103,6","0,061",T,"64,95","Santa Cruz Island, Galapagos", Galapagos Archipelago (Ecuador),"-0,75","-90,32",2011,"Traveset, A., Heleno, R., Chamorro, S., Vargas, P., Mcmullen, C. K., Castro-Urgal, R., … Olesen, J. M. (2013). Invaders of pollination networks in the Galápagos Islands: Emergence of novel communities. Proceedings of the Royal Society B: Biological Sciences, 280(1758) ; Nnakenyi, C. A., Traveset, A., Heleno, R., Minoarivelo, H. O., & Hui, C. (2019). Fine-tuning the nested structure of pollination networks by adaptive interaction switching, biogeography and sampling effect in the Galápagos Islands. Oikos, 128(10), 1413–1423.",original publication
158,"Traveset et al., 2013",21,93,234,17,29,55,18,22,91,"23,8","1,685",463,97,12,30,"103,6","0,053",T,"65,79","San Cristobal Island, Galapagos", Galapagos Archipelago (Ecuador),"-0,89","-89,61",2011,"Traveset, A., Heleno, R., Chamorro, S., Vargas, P., Mcmullen, C. K., Castro-Urgal, R., … Olesen, J. M. (2013). Invaders of pollination networks in the Galápagos Islands: Emergence of novel communities. Proceedings of the Royal Society B: Biological Sciences, 280(1758) ; Nnakenyi, C. A., Traveset, A., Heleno, R., Minoarivelo, H. O., & Hui, C. (2019). Fine-tuning the nested structure of pollination networks by adaptive interaction switching, biogeography and sampling effect in the Galápagos Islands. Oikos, 128(10), 1413–1423.",original publication
164,"Trojelsgaard et al., 2015",24,98,236,13,41,68,24,36,111,"18,9","2,715",356,86,32,71,"84,2","0,036",TO,"69,67","Tenerife, Canary Islands",Canary Islands (Spain),"28,29","-16,66",2010,"Trøjelsgaard, K., Jordano, P., Carstensen, D. W., & Olesen, J. M. (2015). Geographical variation in mutualistic networks: Similarity, turnover and partner fidelity. Proceedings of the Royal Society B: Biological Sciences, 282(1802), 1–9. ",DRYAD:  http://dx.doi.org/10.5061/dryad.76173
167,"Devoto et al., 2005",28,80,170,16,27,63,24,40,86,"8,7","4,254",1064,54,4,60,92,"0,041",T,"54,63","Patagonia, Argentina", Argentina,"-40,64","-71,35",2003,"Devoto, M., Medan, D., & Montaldo, N. H. (2005). Patterns of interaction between plants and pollinators along an environmental gradient. Oikos, 109(3), 461–472.
Devoto, M. (2006). Interacciones planta - polinizador a lo largo de un gradiente ambiental : una aproximación en escala. Universidad de Buenos Aires.",master thesis
168,"Devoto et al., 2005",43,191,373,28,55,123,37,78,167,"7,8","4,434",755,64,14,60,412,"0,05",T,"47,86","Patagonia, Argentina", Argentina,"-40,76","-71,09",2002,"Devoto, M., Medan, D., & Montaldo, N. H. (2005). Patterns of interaction between plants and pollinators along an environmental gradient. Oikos, 109(3), 461–472.
Devoto, M. (2006). Interacciones planta - polinizador a lo largo de un gradiente ambiental : una aproximación en escala. Universidad de Buenos Aires.",master thesis
169,"Gibson et al., 2006",33,82,268,30,48,177,17,18,51,"9,3","4,622",829,16,72,90,60,"0,022",TO,"84,35","Bath, Somerset, UK", UK,"51,39","-2,47",2002,"Gibson, R. H., Nelson, I. L., Hopkins, G. W., Hamlett, B. J., & Memmott, J. (2006). Pollinator webs, plant communities and the conservation of rare plants: arable weeds as a case study. Journal of Applied Ecology, 43(2), 246–257. ",Dryad: https://doi.org/10.5061/dryad.41m4d
170,"Gibson et al., 2006",30,68,156,23,34,87,17,14,34,"9,5","4,567",859,18,36,90,30,"0,015",TO,"85,71","Langport, Somerset, UK", UK,51,"-2,94",2002,"Gibson, R. H., Nelson, I. L., Hopkins, G. W., Hamlett, B. J., & Memmott, J. (2006). Pollinator webs, plant communities and the conservation of rare plants: arable weeds as a case study. Journal of Applied Ecology, 43(2), 246–257. ",Dryad: https://doi.org/10.5061/dryad.41m4d
172,"Fragoso, 2014",19,111,167,13,47,69,13,41,63,"21,8","1,885",1459,74,65,336,198,"0,094",T,"23,08",Brazil,Brazil,"-21,12","-47,97",2012,"Fragoso, F. P. (2014). Restabelecimento das interações entre plantas e visitantes florais em áreas restauradas de Floresta Estacional Semidecidual. Universidade de Sao Paulo.",PhD thesis
173,"Orford et al., 2016",29,105,221,25,75,158,11,17,26,"9,3","4,577",735,14,50,120,28,"0,009",T,"87,31",South-West England,UK,"51,66","-2,16",2013,"Orford, K. A., Murray, P. J., Vaughan, I. P., & Memmott, J. (2016). Modest enhancements to conventional grassland diversity improve the provision of pollination services. Journal of Applied Ecology, 53(3), 906–915. ",original publication
175,"Aizen et al., 2008",18,57,181,15,17,60,18,22,86,"7,7","4,267",897,60,64,90,102,"0,099",TO,56,"Nahuel Huapi National Park, Patagonia, Argentina", Argentina,"-41,14","-71,32",2001,"Aizen, M. A., Morales, C. L., & Morales, J. M. (2008). Invasive mutualists erode native pollination webs. PLoS Biology, 6(2), 0396–0403 ; Morales, C. L., & Aizen, M. A. (2006). Invasive mutualisms and the structure of plant-pollinator interactions in the temperate forests of north-west Patagonia, Argentina. Journal of Ecology, 94(1), 171–180",original publication
176,"Aizen et al., 2008",17,58,169,15,21,47,17,23,90,"8,2","4,084",1218,57,30,90,102,"0,103",TO,56,"Nahuel Huapi National Park, Patagonia, Argentina", Argentina,"-41,05","-71,55",2001,"Aizen, M. A., Morales, C. L., & Morales, J. M. (2008). Invasive mutualists erode native pollination webs. PLoS Biology, 6(2), 0396–0403 ; Morales, C. L., & Aizen, M. A. (2006). Invasive mutualisms and the structure of plant-pollinator interactions in the temperate forests of north-west Patagonia, Argentina. Journal of Ecology, 94(1), 171–180",original publication
177,"Aizen et al., 2008",18,49,153,17,24,80,17,19,61,"8,4","3,92",1840,47,7,90,102,"0,116",TO,"58,21","Nahuel Huapi National Park, Patagonia, Argentina", Argentina,"-41,03","-71,81",2001,"Aizen, M. A., Morales, C. L., & Morales, J. M. (2008). Invasive mutualists erode native pollination webs. PLoS Biology, 6(2), 0396–0403 ; Morales, C. L., & Aizen, M. A. (2006). Invasive mutualisms and the structure of plant-pollinator interactions in the temperate forests of north-west Patagonia, Argentina. Journal of Ecology, 94(1), 171–180",original publication
179,"Benadi et al., 2013",23,28,60,13,16,25,14,9,29,"3,8","6,551",1298,29,26,98,72,"0,112",T,100,"Berchtesgaden National Park, German Alps, Germany", Germany,"47,54","12,89",2010,"Benadi, G., Hovestadt, T., Poethke, H. J., & Blüthgen, N. (2014). Specialization and phenological synchrony of plant-pollinator interactions along an altitudinal gradient. Journal of Animal Ecology, 83(3), 639–650.",DRYAD: https://doi.org/10.5061/dryad.8mn44
180,"Benadi et al., 2013",67,176,523,60,137,408,25,18,66,"1,5","6,25",1391,25,26,76,120,"0,01",T,"98,35","Berchtesgaden National Park, German Alps, Germany", Germany,"47,53","12,91",2010,"Benadi, G., Hovestadt, T., Poethke, H. J., & Blüthgen, N. (2014). Specialization and phenological synchrony of plant-pollinator interactions along an altitudinal gradient. Journal of Animal Ecology, 83(3), 639–650.",DRYAD: https://doi.org/10.5061/dryad.8mn44
192,"Grass et al., 2013",55,134,435,37,44,145,47,42,158,"17,9","2,31",1113,44,24,90,"177,4","0,024",TO,"38,62","Oribi Gorge Nature Reserve, KwaZulu-Natal, South Africa", South Africa,"-30,71","30,28",2011,"Grass, I., Berens, D. G., Peter, F., & Farwig, N. (2013). Additive effects of exotic plant abundance and land-use intensity on plant-pollinator interactions. Oecologia, 173(3), 913–923. ",original publication
203,"Robinson et al., 2018",8,24,41,8,16,32,3,3,4,"-16,3","13,865",97,54,0,40,"51,9","0,27",T,"65,62","Alexandra Fiord, Ellesmere Island, Nunavut, Canadian High Arctic",Canada,"78,88","-75,81",2014,"Robinson, S. V. J., Losapio, G., & Henry, G. H. R. (2018). Flower-power: Flower diversity is a stronger predictor of network structure than insect diversity in an Arctic plant–pollinator network. Ecological Complexity, 36(April), 1–6. ",original publication
205,"Bennett et al., 2018",32,132,399,30,63,193,28,42,125,"6,1","6,839",838,38,8,4,60,"0,014",TO,"84,15","Apuseni Mountains, Ghe?ari village, Roumania",Roumania,"46,49","22,82",2017,"Bennett, J.M., Thompson, A., Goia, I., Feldmann, R., Ştefan, V., Bogdan, A., et al. (2018). A review of European studies on pollination networks and pollen limitation, and a case study designed to fill in a gap. AoB Plants, 10, 1–10",original publication
206,"Adedoja et al., 2018",34,77,183,21,13,28,29,51,108,13,"3,246",698,50,26,90,"69,9","0,027",T,"20,72","Jonaskop Mountain, Western Cape Province, South Africa",South Africa,"-33,94","19,51",2017,"Adedoja, O. A., Kehinde, T., & Samways, M. J. (2018). Insect-flower interaction networks vary among endemic pollinator taxa over an elevation gradient. Plos One, 13(11), e0207453. ",original publication
207,"Cordiniz Picanco, 2018",16,40,112,13,26,74,12,6,19,"13,8","3,031",1283,40,12,122,60,"0,094",T,"85,71","Terceira Island, Azores archipelago",Azores archipelago (Portugal),"38,74","-27,3",2014,"Coderniz Picanço, A. L. (2018). Biodiversity conservation in island protected areas: the case of plant-insect pollinating networks. Universidade dos Açores Doutoramento.",original thesis
208,"Cordiniz Picanco, 2018",26,37,110,21,26,71,17,5,29,16,"2,949",1161,43,18,122,60,"0,062",T,"90,48","Terceira Island, Azores archipelago",Azores archipelago (Portugal),"38,77","-27,35",2014,"Coderniz Picanço, A. L. (2018). Biodiversity conservation in island protected areas: the case of plant-insect pollinating networks. Universidade dos Açores Doutoramento.",original thesis
209,"Cordiniz Picanco, 2018",24,40,147,21,22,81,21,9,49,16,"2,915",1172,44,22,122,60,"0,063",T,"93,75","Terceira Island, Azores archipelago",Azores archipelago (Portugal),"38,76","-27,19",2014,"Coderniz Picanço, A. L. (2018). Biodiversity conservation in island protected areas: the case of plant-insect pollinating networks. Universidade dos Açores Doutoramento.",original thesis
210,"Cordiniz Picanco, 2018",14,30,90,12,19,55,9,6,19,15,"2,976",1221,42,40,122,60,"0,143",T,"93,18","Terceira Island, Azores archipelago",Azores archipelago (Portugal),"38,7","-27,2",2014,"Coderniz Picanço, A. L. (2018). Biodiversity conservation in island protected areas: the case of plant-insect pollinating networks. Universidade dos Açores Doutoramento.",original thesis
211,"Cordiniz Picanco, 2018",14,34,101,13,22,67,10,8,26,"16,6","2,868",1133,46,42,122,60,"0,126",T,"95,83","Terceira Island, Azores archipelago",Azores archipelago (Portugal),"38,67","-27,11",2014,"Coderniz Picanço, A. L. (2018). Biodiversity conservation in island protected areas: the case of plant-insect pollinating networks. Universidade dos Açores Doutoramento.",original thesis
215,Benadi & Pauw 2018,38,80,235,19,18,39,22,22,69,"15,9","3,513",1051,60,18,37,97,"0,032",TO,"30,51",,South Africa,"-33,94","18,97",2017,"Benadi, G., & Pauw, A. (2018). Frequency dependence of pollinator visitation rates suggests that pollination niches can allow plant species coexistence. Journal of Ecology, 106(5), 1892–1901. ",original publication
216,"Hackett et al., 2019",43,220,527,32,136,310,36,46,140,"10,2","4,373",794,24,75,122,48,"0,005",T,"80,23",,UK,"50,72","-1,75",2013,"Hackett, T. D., Sauve, A. M. C., Davies, N., Montoya, D., Tylianakis, J. M., & Memmott, J. (2019). Reshaping our understanding of species’ roles in landscape-scale networks. Ecology Letters, 22(9), 1367–1377. ",original publication
217,"Hackett et al., 2019",21,53,96,17,37,57,16,10,28,"10,1","3,29",1139,14,23,122,24,"0,022",T,"44,59",,NZ,"-46,59","169,43",2015,"Hackett, T. D., Sauve, A. M. C., Davies, N., Montoya, D., Tylianakis, J. M., & Memmott, J. (2019). Reshaping our understanding of species’ roles in landscape-scale networks. Ecology Letters, 22(9), 1367–1377. ",original publication
218,"Nel et al., 2017",17,118,280,10,30,66,9,28,66,"21,4","3,182",601,80,10,152,200,"0,1",T,"25,19",,South Africa,"-24,41","30,89",2013,"Nel, L., Pryke, J. S., Carvalheiro, L. G., Thébault, E., van Veen, F. J. F., & Seymour, C. L. (2017). Exotic plants growing in crop field margins provide little support to mango crop flower visitors. Agriculture, Ecosystems and Environment, 250(January), 72–80. ",original publication
219,"Oleques et al., 2019",62,150,562,36,41,133,49,57,211,"19,4","3,38",1360,8,46,183,"130,8","0,014",TO,"45,28",,Brazil,"-30,1","-51,68",2015,"Oleques, S. S., Vizentin-Bugoni, J., & Overbeck, G. E. (2019). Influence of grazing intensity on patterns and structuring processes in plant–pollinator networks in a subtropical grassland. Arthropod-Plant Interactions, 13(5), 757–770. ",original publication
220,"Jolls et al., 2019",21,59,136,17,16,41,18,22,58,"6,3","9,512",770,25,8,41,"233,5","0,188",T,70,,USA,"45,71","-84,95",2015,"Jolls, C. L., Inkster, J. N., Scholtens, B. G., Vitt, P., & Havens, K. (2019). An endemic plant and the plant-insect visitor network of a dune ecosystem. Global Ecology and Conservation, 18, e00603. ",original publication
221,"Biella et al., 2019",16,25,84,12,8,27,13,8,33,"9,4","4,936",641,10,76,10,3,"0,008",T,"97,56",,UK,"52,27","-0,88",2008,"Biella, P., Akter, A., Ollerton, J., Tarrant, S., Janeček, Š., Jersáková, J., & Klecka, J. (2019). Experimental loss of generalist plants reveals alterations in plant-pollinator interactions and a constrained flexibility of foraging. Scientific Reports, 9(1), 1–13. ",original publication
223,"Adedoja et al., 2019",60,76,247,35,18,67,41,34,97,"16,3","3,423",777,60,24,93,45,"0,01",T,"26,47",,South Africa,"-34,08","18,9",2017,"Adedoja, O., Dormann, C. F., Kehinde, T., & Samways, M. J. (2019). Refuges from fire maintain pollinator–plant interaction networks. Ecology and Evolution, 9(10), 5777–5786. ",original publication
224,"Villalobos et al., 2019",33,98,201,14,40,67,22,38,97,"2,9","9,063",469,52,70,93,24,"0,007",T,"53,44",,Canada,"51,17","-114,4",2015,"Villalobos, S., Sevenello-Montagner, J. M., & Vamosi, J. C. (2019). Specialization in plant-pollinator networks: Insights from local-scale interactions in Glenbow Ranch Provincial Park in Alberta, Canada. BMC Ecology, 19(1), 1–13. ",original publication
225,"Lara-Romero et al., 2019",11,126,357,11,47,132,11,44,131,"6,7","4,809",558,86,18,93,"216,9","0,156",TO,"67,88",,Canary Islands (Spain),"28,27","-16,62",2015,"Lara-Romero, C., Seguí, J., Pérez-Delgado, A., Nogales, M., & Traveset, A. (2019). Beta diversity and specialization in plant–pollinator networks along an elevational gradient. Journal of Biogeography, 46(7), 1598–1610. ",original publication
231,"Ferrero et al., 2013",7,13,49,6,2,7,7,9,38,16,"4,381",936,53,60,5,31,"0,341",T,55,,Portugal,"40,17","-8,41",2011,"Ferrero, V., Castro, S., Costa, J., Acuña, P., Navarro, L., & Loureiro, J. (2013). Effect of invader removal: Pollinators stay but some native plants miss their new friend. Biological Invasions, 15(10), 2347–2358. ",original publication
232,"Sritongchuay et al., 2019",42,128,618,35,36,155,42,51,294,"27,1","0,778",2023,58,28,365,614,"0,114",TO,"54,71",,Thailand,"7,7","99,88",2013,"Sritongchuay, T., Hughes, A. C., Memmott, J., & Bumrungsri, S. (2019). Forest proximity and lowland mosaic increase robustness of tropical pollination networks in mixed fruit orchards. Landscape and Urban Planning, 192(September), 103646. 
Sritongchuay, T. (2016). Plant-Pollinator Networks in Mixed Fruit Orchards in Southern Thailand. Prince of Songkla University.
",original publication
233,"Neli, 2014",72,164,990,35,28,96,67,60,565,24,"3,909",2223,90,32,365,"1216,7","0,103",T,"81,36",,India,"26,08","91,64",2012,"Neli, S. (2014). Study on the insect pollinators of Rani Reserve Forest, Assam, India. GAUHATI UNIVERSITY.",original publication
234,"Son, 2019",38,34,99,13,5,16,31,11,56,"13,7","8,566",1184,63,49,42,32,"0,025",T,"97,22",,South Korea,"34,9","126,44",2018,"Son, M. W. (2019). Analysis of Pollination Network by Landscape in Muan-gun, South jeolla Province: Forest Environment by Distance from Farmland. Graduate School of Mokpo National University",original publication
235,"Baldock et al., 2019",193,180,662,122,100,337,122,47,261,"9,8","4,607",809,16,76,152,51,"0,001",T,"90,88","Bristol, UK",UK,"51,47","-2,580514",2013,"Baldock, K. C. R., Goddard, M. A., Hicks, D. M., Kunin, W. E., Mitschunas, N., Morse, H., … Memmott, J. (2019). A systems approach reveals urban pollinator hotspots and conservation opportunities. Nature Ecology and Evolution, 3(3), 363–373",original publication
236,"Baldock et al., 2019",137,129,425,95,90,272,77,24,134,"8,8","4,257",659,17,84,152,"81,4","0,005",T,"87,22","Edinburgh, UK",UK,"55,97","-3,164723",2013,"Baldock, K. C. R., Goddard, M. A., Hicks, D. M., Kunin, W. E., Mitschunas, N., Morse, H., … Memmott, J. (2019). A systems approach reveals urban pollinator hotspots and conservation opportunities. Nature Ecology and Evolution, 3(3), 363–373",original publication
237,"Baldock et al., 2019",154,126,573,112,76,340,92,31,206,"9,3","4,506",706,11,92,152,"75,68","0,004",T,"90,71","Leeds, UK",UK,"53,8","-1,507525",2013,"Baldock, K. C. R., Goddard, M. A., Hicks, D. M., Kunin, W. E., Mitschunas, N., Morse, H., … Memmott, J. (2019). A systems approach reveals urban pollinator hotspots and conservation opportunities. Nature Ecology and Evolution, 3(3), 363–373",original publication
238,"Baldock et al., 2019",156,167,574,86,92,271,115,42,232,"9,8","4,983",709,15,92,152,"47,6","0,002",T,"86,69","Reading, UK",UK,"51,44","-0,960356",2013,"Baldock, K. C. R., Goddard, M. A., Hicks, D. M., Kunin, W. E., Mitschunas, N., Morse, H., … Memmott, J. (2019). A systems approach reveals urban pollinator hotspots and conservation opportunities. Nature Ecology and Evolution, 3(3), 363–373",original publication
